Order_Ref_Number,Order_Repeat_Chance
75722,2
80185,0
19865,1
76700,1
92992,2
76435,0
84005,2
80918,2
60768,2
50075,2
27702,2
42142,2
45081,2
16639,2
20425,2
88703,2
150,2
1762,2
63121,2
69162,2
64884,2
2496,2
80297,2
19448,2
41332,2
14889,2
88637,2
94893,2
92732,2
29131,2
79023,2
84937,2
16822,2
36734,2
15603,2
28534,2
69770,2
11406,2
96853,2
16131,2
19793,2
89578,2
40164,2
31777,2
25331,2
79157,2
51686,2
75499,2
4728,2
85199,2
35796,2
12257,2
35719,2
70552,2
54375,2
39692,2
93703,2
73692,2
98071,2
576,2
84611,2
61770,2
32261,2
82200,2
36291,2
78450,2
60056,2
45949,2
28178,2
84464,2
579,2
30960,2
64291,2
14532,2
17934,2
33609,2
49960,2
66599,2
99090,2
34452,2
34081,2
63588,2
4294,2
69103,2
86412,2
99477,2
53930,2
87071,2
65084,2
30713,2
49183,2
57235,2
15664,2
19967,2
91913,2
91958,2
81347,2
55326,2
29858,2
71223,2
52459,2
88346,2
82364,2
65350,2
59650,2
44953,2
39526,2
13936,2
93781,2
89885,2
81144,2
95800,2
89405,2
55224,2
73646,2
66294,2
65540,2
28111,2
41929,2
86547,2
82586,2
38604,2
91658,2
62787,2
84341,2
39875,2
78469,2
31632,2
14953,2
39332,2
48588,2
83595,2
41488,2
39628,2
87895,2
26304,2
67404,2
98085,2
95602,2
5020,2
5224,2
15781,2
45557,2
12897,2
34305,2
93323,2
5325,2
52926,2
62865,2
8019,2
82945,2
90377,2
41721,2
867,2
98444,2
83040,2
13925,2
79893,2
31184,2
13800,2
40989,2
66734,2
78331,2
24379,2
23415,2
97560,2
22993,2
3232,2
41996,2
49188,2
22515,2
21326,2
86234,2
88127,2
29824,2
92485,2
68425,2
64484,2
51020,2
26754,2
49964,2
42732,2
29057,2
55318,2
35497,2
56338,2
79278,2
5465,2
70156,2
70670,2
56014,2
12086,2
56819,2
20001,2
69067,2
50453,2
90710,2
52885,2
30964,2
34574,2
15295,2
27919,2
46121,2
35074,2
10551,2
91128,2
691,2
77730,2
36097,2
65352,2
11041,2
4222,2
822,2
38129,2
89152,2
29232,2
50557,2
33685,2
58754,2
27023,2
36906,2
271,2
8867,2
15007,2
4689,2
81996,2
84373,2
2515,2
36400,2
38869,2
58245,2
30410,2
54795,2
19264,2
83910,2
26974,2
7130,2
7145,2
45466,2
1967,2
15153,2
19114,2
76207,2
32142,2
21935,2
40360,2
53842,2
9163,2
87844,2
37630,2
83305,2
66270,2
34654,2
41963,2
39591,2
81036,2
10981,2
56300,2
61549,2
88401,2
44324,2
55208,2
53528,2
26971,2
73218,2
65891,2
42222,2
97866,2
12251,2
69437,2
38433,2
40890,2
30999,2
56146,2
95414,2
22156,2
17614,2
56444,2
98400,2
24053,2
50243,2
58999,2
31345,2
61242,2
92530,2
80829,2
51726,2
33880,2
83007,2
73909,2
67247,2
88808,2
13122,2
8258,2
93381,2
13915,2
30903,2
72859,2
20293,2
58171,2
20950,2
36695,2
8526,2
78272,2
77403,2
77652,2
99837,2
92272,2
29776,2
34808,2
16886,2
49984,2
62615,2
14229,2
52177,2
8029,2
28922,2
69420,2
70812,2
34364,2
43204,2
36795,2
97027,2
63343,2
36956,2
69229,2
9424,2
86001,2
16959,2
21615,2
61462,2
61774,2
86802,2
67503,2
79371,2
34497,2
43009,2
91598,2
75439,2
29720,2
38607,2
77127,2
97088,2
24627,2
61815,2
69756,2
11931,2
16161,2
47440,2
34606,2
14107,2
90651,2
98435,2
17503,2
63486,2
33076,2
79809,2
90791,2
93365,2
18293,2
43850,2
35068,2
61393,2
27382,2
85414,2
13798,2
1729,2
66101,2
7678,2
73315,2
69696,2
5439,2
73381,2
34591,2
8453,2
6235,2
56580,2
44069,2
73662,2
18242,2
72560,2
11373,2
53068,2
54397,2
60744,2
4233,2
66150,2
227,2
38051,2
75831,2
11713,2
89799,2
84722,2
11651,2
63793,2
18332,2
59465,2
31839,2
35888,2
70558,2
68842,2
44300,2
39432,2
71758,2
51267,2
49809,2
86689,2
61005,2
60771,2
88,2
77204,2
51988,2
82150,2
43734,2
95182,2
88477,2
62006,2
30884,2
50767,2
74956,2
12751,2
36507,2
9938,2
18374,2
92221,2
90730,2
12397,2
94922,2
33802,2
1231,2
20335,2
78044,2
40351,2
50863,2
65410,2
98466,2
83943,2
35641,2
76610,2
1046,2
97796,2
5938,2
57688,2
7896,2
87485,2
17571,2
53065,2
11142,2
96937,2
50491,2
33223,2
82507,2
36297,2
67925,2
94405,2
84993,2
62123,2
65744,2
40247,2
16362,2
55939,2
28675,2
23958,2
7859,2
94213,2
63352,2
50199,2
55239,2
98341,2
13706,2
13580,2
34571,2
93622,2
2105,2
74361,2
85889,2
99907,2
56430,2
86503,2
12470,2
14779,2
27544,2
97977,2
46123,2
49369,2
1333,2
2361,2
82418,2
45149,2
7842,2
86291,2
36035,2
18146,2
70746,2
78804,2
94236,2
52491,2
88895,2
59269,2
19663,2
49826,2
1323,2
37624,2
20087,2
88366,2
92896,2
69588,2
26587,2
39879,2
75299,2
53979,2
49674,2
75962,2
25356,2
27734,2
18006,2
22673,2
50381,2
59039,2
43445,2
2281,2
77965,2
96126,2
77648,2
31432,2
31923,2
15809,2
85542,2
15496,2
77432,2
57937,2
18950,2
22584,2
6749,2
80574,2
53071,2
1403,2
37782,2
64680,2
79961,2
23788,2
30419,2
59035,2
20331,2
95653,2
884,2
41516,2
14039,2
44970,2
32866,2
79369,2
3254,2
2938,2
36839,2
25040,2
23395,2
81993,2
56294,2
1319,2
95285,2
32593,2
86254,2
79995,2
63781,2
37109,2
1350,2
4791,2
96595,2
87445,2
87608,2
84334,2
58135,2
18635,2
3394,2
72229,2
37588,2
11447,2
92169,2
33055,2
93269,2
59809,2
61578,2
49661,2
11061,2
1551,2
80751,2
4511,2
26439,2
86709,2
83004,2
80167,2
48079,2
16302,2
17495,2
85699,2
61706,2
49149,2
70173,2
96223,2
52413,2
97494,2
9094,2
6268,2
81824,2
40204,2
69326,2
57863,2
52992,2
89246,2
26874,2
62597,2
47746,2
40991,2
13929,2
94954,2
18743,2
1058,2
4338,2
34171,2
96506,2
2030,2
1431,2
35084,2
33932,2
55376,2
22825,2
73647,2
25270,2
64035,2
14806,2
60298,2
50079,2
31592,2
586,2
36905,2
21333,2
39457,2
12534,2
40816,2
68317,2
42918,2
5216,2
83013,2
40200,2
64274,2
88544,2
834,2
41273,2
79343,2
35016,2
66703,2
65644,2
18486,2
33334,2
13552,2
95261,2
17673,2
23146,2
61130,2
69841,2
96987,2
35754,2
33460,2
14269,2
22187,2
15023,2
11969,2
28566,2
25842,2
279,2
76183,2
6149,2
61297,2
77960,2
14150,2
47140,2
29518,2
10050,2
53346,2
75310,2
20613,2
34287,2
59397,2
38721,2
31121,2
46500,2
31419,2
1573,2
78057,2
53084,2
27806,2
96811,2
97650,2
15843,2
52853,2
50138,2
27538,2
11856,2
41094,2
40942,2
78213,2
70852,2
85907,2
70227,2
17248,2
91331,2
74412,2
13736,2
75534,2
19779,2
8094,2
92534,2
82193,2
67484,2
46678,2
74258,2
54569,2
61461,2
31022,2
2130,2
95185,2
11864,2
55043,2
14425,2
52151,2
9162,2
42666,2
7316,2
2181,2
67359,2
9601,2
35737,2
30465,2
10572,2
85767,2
6176,2
31197,2
77458,2
1222,2
74449,2
37038,2
16291,2
25453,2
33563,2
656,2
43384,2
64833,2
37692,2
50195,2
64798,2
34273,2
4051,2
87072,2
81773,2
70997,2
4368,2
56346,2
45918,2
46369,2
90890,2
5074,2
35991,2
10502,2
55930,2
11015,2
80128,2
40039,2
69576,2
8787,2
60719,2
55432,2
95341,2
19213,2
94482,2
41047,2
3790,2
90092,2
58117,2
22507,2
17920,2
96635,2
8570,2
88174,2
45795,2
73839,2
15461,2
8312,2
64112,2
9661,2
857,2
57420,2
40012,2
21178,2
85575,2
22154,2
66030,2
11469,2
65982,2
37238,2
72376,2
83143,2
20283,2
12388,2
29870,2
78789,2
69418,2
10900,2
22740,2
1415,2
30953,2
56835,2
38936,2
32201,2
68845,2
45692,2
72020,2
80648,2
20428,2
11896,2
4625,2
29506,2
12561,2
38943,2
69606,2
574,2
84866,2
51744,2
74337,2
86885,2
36239,2
50283,2
7749,2
45120,2
99912,2
73382,2
60894,2
76179,2
79844,2
86324,2
98518,2
76930,2
17962,2
64846,2
28287,2
16731,2
67703,2
81582,2
2743,2
91840,2
51277,2
10818,2
13414,2
4646,2
24831,2
51478,2
60477,2
9888,2
77007,2
80596,2
72762,2
97107,2
53570,2
15627,2
98423,2
38862,2
24548,2
78204,2
44525,2
929,2
30573,2
2175,2
63408,2
15467,2
21288,2
68792,2
64131,2
42631,2
48460,2
8286,2
56545,2
36138,2
73918,2
56098,2
25637,2
59976,2
63100,2
56513,2
68414,2
24264,2
60420,2
53043,2
92131,2
62661,2
24014,2
12043,2
49784,2
76815,2
15395,2
73797,2
50179,2
94485,2
115,2
60900,2
59781,2
62200,2
76634,2
37379,2
6730,2
5905,2
65967,2
14530,2
65586,2
7336,2
88468,2
38224,2
58175,2
89551,2
4163,2
38540,2
69510,2
33889,2
38622,2
96588,2
10619,2
38358,2
42506,2
32808,2
56781,2
40369,2
32387,2
17774,2
61122,2
17973,2
64305,2
69596,2
85583,2
14985,2
34607,2
9495,2
32072,2
5170,2
70610,2
11318,2
42991,2
79977,2
60107,2
67710,2
43943,2
44018,2
62413,2
27785,2
21660,2
31376,2
82861,2
13344,2
50615,2
34824,2
15838,2
85349,2
56730,2
59923,2
33804,2
19838,2
21518,2
91196,2
28011,2
30221,2
65202,2
22262,2
37116,2
44035,2
55594,2
34339,2
8951,2
52507,2
84700,2
28853,2
48595,2
73977,2
45567,2
87038,2
11148,2
86810,2
