Order_Ref_Number,Order_Repeat_Chance
75722,1
80185,0
19865,0
76700,0
92992,0
76435,0
84005,1
80918,1
60768,0
50075,1
27702,0
42142,0
45081,0
16639,1
20425,0
88703,0
150,0
1762,1
63121,1
69162,1
64884,1
2496,0
80297,1
19448,1
41332,1
14889,0
88637,1
94893,1
92732,0
29131,0
79023,1
84937,1
16822,1
36734,0
15603,0
28534,0
69770,1
11406,0
96853,1
16131,1
19793,1
89578,1
40164,0
31777,0
25331,0
79157,1
51686,1
75499,0
4728,1
85199,0
35796,1
12257,0
35719,1
70552,1
54375,1
39692,0
93703,1
73692,1
98071,0
576,0
84611,1
61770,0
32261,1
82200,0
36291,1
78450,0
60056,0
45949,1
28178,0
84464,1
579,1
30960,0
64291,0
14532,0
17934,0
33609,0
49960,0
66599,1
99090,1
34452,0
34081,0
63588,1
4294,0
69103,1
86412,0
99477,0
53930,1
87071,1
65084,0
30713,0
49183,0
57235,0
15664,0
19967,1
91913,1
91958,0
81347,1
55326,0
29858,0
71223,1
52459,1
88346,0
82364,1
65350,1
59650,0
44953,1
39526,0
13936,0
93781,0
89885,0
81144,1
95800,1
89405,0
55224,0
73646,0
66294,0
65540,1
28111,0
41929,0
86547,0
82586,0
38604,1
91658,1
62787,1
84341,1
39875,1
78469,0
31632,1
14953,0
39332,1
48588,0
83595,1
41488,1
39628,1
87895,1
26304,0
67404,1
98085,0
95602,1
5020,0
5224,0
15781,0
45557,1
12897,1
34305,0
93323,1
5325,0
52926,1
62865,0
8019,0
82945,1
90377,1
41721,1
867,1
98444,1
83040,0
13925,0
79893,1
31184,0
13800,1
40989,0
66734,1
78331,0
24379,0
23415,0
97560,1
22993,0
3232,0
41996,1
49188,1
22515,1
21326,1
86234,0
88127,1
29824,1
92485,0
68425,1
64484,0
51020,0
26754,0
49964,0
42732,0
29057,0
55318,0
35497,1
56338,1
79278,1
5465,0
70156,1
70670,1
56014,0
12086,0
56819,1
20001,1
69067,1
50453,0
90710,1
52885,0
30964,0
34574,0
15295,1
27919,0
46121,1
35074,1
10551,1
91128,1
691,1
77730,0
36097,0
65352,0
11041,0
4222,0
822,1
38129,0
89152,0
29232,0
50557,0
33685,0
58754,0
27023,1
36906,1
271,1
8867,0
15007,0
4689,0
81996,1
84373,1
2515,0
36400,1
38869,1
58245,1
30410,1
54795,1
19264,0
83910,1
26974,0
7130,1
7145,0
45466,0
1967,0
15153,1
19114,1
76207,0
32142,1
21935,1
40360,1
53842,1
9163,0
87844,0
37630,1
83305,1
66270,1
34654,0
41963,0
39591,0
81036,0
10981,1
56300,1
61549,0
88401,1
44324,1
55208,0
53528,1
26971,0
73218,1
65891,0
42222,0
97866,1
12251,1
69437,0
38433,1
40890,1
30999,1
56146,0
95414,0
22156,0
17614,0
56444,0
98400,1
24053,1
50243,0
58999,1
31345,0
61242,0
92530,1
80829,0
51726,0
33880,0
83007,0
73909,1
67247,1
88808,1
13122,1
8258,0
93381,1
13915,1
30903,1
72859,0
20293,0
58171,1
20950,0
36695,1
8526,0
78272,1
77403,0
77652,1
99837,0
92272,1
29776,0
34808,0
16886,0
49984,1
62615,1
14229,1
52177,0
8029,1
28922,0
69420,1
70812,0
34364,0
43204,1
36795,0
97027,0
63343,1
36956,1
69229,1
9424,1
86001,1
16959,0
21615,1
61462,1
61774,1
86802,0
67503,1
79371,0
34497,1
43009,0
91598,1
75439,1
29720,0
38607,1
77127,0
97088,0
24627,1
61815,1
69756,0
11931,1
16161,1
47440,0
34606,1
14107,0
90651,1
98435,0
17503,1
63486,1
33076,1
79809,0
90791,1
93365,0
18293,0
43850,1
35068,1
61393,1
27382,0
85414,0
13798,1
1729,0
66101,1
7678,1
73315,0
69696,0
5439,0
73381,0
34591,0
8453,0
6235,0
56580,1
44069,0
73662,1
18242,1
72560,1
11373,1
53068,1
54397,0
60744,1
4233,0
66150,1
227,1
38051,0
75831,1
11713,1
89799,1
84722,1
11651,0
63793,0
18332,0
59465,1
31839,0
35888,1
70558,1
68842,1
44300,0
39432,1
71758,1
51267,1
49809,1
86689,1
61005,1
60771,1
88,1
77204,0
51988,1
82150,1
43734,1
95182,0
88477,1
62006,0
30884,0
50767,1
74956,1
12751,1
36507,0
9938,1
18374,1
92221,1
90730,1
12397,0
94922,1
33802,1
1231,0
20335,0
78044,1
40351,0
50863,0
65410,0
98466,1
83943,1
35641,1
76610,1
1046,0
97796,1
5938,0
57688,1
7896,0
87485,1
17571,0
53065,0
11142,0
96937,1
50491,1
33223,1
82507,0
36297,0
67925,1
94405,0
84993,0
62123,0
65744,1
40247,0
16362,0
55939,1
28675,0
23958,1
7859,0
94213,0
63352,0
50199,0
55239,0
98341,1
13706,0
13580,1
34571,0
93622,0
2105,0
74361,1
85889,1
99907,1
56430,1
86503,1
12470,1
14779,0
27544,0
97977,1
46123,1
49369,1
1333,0
2361,0
82418,1
45149,1
7842,0
86291,1
36035,1
18146,0
70746,1
78804,0
94236,1
52491,1
88895,0
59269,1
19663,0
49826,0
1323,1
37624,0
20087,0
88366,0
92896,0
69588,1
26587,0
39879,1
75299,0
53979,1
49674,1
75962,0
25356,0
27734,0
18006,1
22673,0
50381,0
59039,1
43445,0
2281,0
77965,1
96126,1
77648,1
31432,0
31923,1
15809,0
85542,1
15496,1
77432,0
57937,1
18950,0
22584,0
6749,0
80574,1
53071,1
1403,0
37782,0
64680,1
79961,1
23788,1
30419,0
59035,1
20331,1
95653,1
884,0
41516,0
14039,0
44970,1
32866,1
79369,1
3254,1
2938,0
36839,0
25040,1
23395,1
81993,0
56294,1
1319,1
95285,1
32593,0
86254,0
79995,0
63781,1
37109,1
1350,1
4791,0
96595,1
87445,0
87608,0
84334,1
58135,1
18635,1
3394,0
72229,0
37588,1
11447,1
92169,1
33055,0
93269,1
59809,0
61578,1
49661,1
11061,1
1551,1
80751,1
4511,1
26439,1
86709,1
83004,0
80167,1
48079,0
16302,1
17495,0
85699,0
61706,1
49149,1
70173,1
96223,0
52413,1
97494,0
9094,0
6268,1
81824,1
40204,1
69326,1
57863,1
52992,1
89246,1
26874,1
62597,0
47746,0
40991,1
13929,0
94954,1
18743,0
1058,0
4338,0
34171,1
96506,0
2030,0
1431,1
35084,0
33932,1
55376,1
22825,1
73647,1
25270,1
64035,1
14806,1
60298,1
50079,1
31592,1
586,0
36905,0
21333,0
39457,1
12534,0
40816,1
68317,1
42918,1
5216,0
83013,0
40200,1
64274,1
88544,1
834,0
41273,1
79343,1
35016,0
66703,1
65644,1
18486,0
33334,1
13552,0
95261,1
17673,0
23146,0
61130,0
69841,0
96987,0
35754,1
33460,0
14269,0
22187,0
15023,1
11969,0
28566,0
25842,0
279,1
76183,1
6149,0
61297,1
77960,0
14150,0
47140,0
29518,0
10050,0
53346,1
75310,1
20613,1
34287,0
59397,0
38721,1
31121,1
46500,0
31419,0
1573,0
78057,0
53084,0
27806,0
96811,1
97650,1
15843,0
52853,1
50138,0
27538,1
11856,0
41094,1
40942,0
78213,1
70852,1
85907,1
70227,0
17248,1
91331,1
74412,1
13736,0
75534,1
19779,0
8094,0
92534,0
82193,0
67484,1
46678,1
74258,0
54569,0
61461,1
31022,0
2130,1
95185,1
11864,1
55043,1
14425,0
52151,1
9162,0
42666,1
7316,0
2181,0
67359,0
9601,0
35737,0
30465,1
10572,0
85767,0
6176,0
31197,0
77458,0
1222,1
74449,1
37038,1
16291,1
25453,0
33563,0
656,0
43384,1
64833,0
37692,1
50195,0
64798,1
34273,1
4051,1
87072,1
81773,0
70997,0
4368,1
56346,0
45918,0
46369,0
90890,1
5074,0
35991,0
10502,0
55930,0
11015,0
80128,1
40039,1
69576,0
8787,0
60719,0
55432,1
